CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;01.08.2025;0.07;0.062;0.041;0.042;0.047;0.044;0.056;0.044;0.072;0.06;0.052;0.059;0.039;0.038;0.042;0.041;0.052;0.048;0.073;0.059;0.046;0.053;0.043;0.034;0.034;0.043;0.037;0.008;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0.045;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018;0;0.006;0.024;0.032;0.079;0.065;0.076;0.086;0.103;0.096;0.078;0.083;0.088;0.09;0.106;0.114;0.102
CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;02.08.2025;0.075;0.067;0.054;0.038;0.037;0.04;0.05;0.07;0.061;0.067;0.039;0.044;0.045;0.042;0.035;0.036;0.05;0.066;0.059;0.061;0.042;0.04;0.045;0.046;0.038;0.031;0.04;0.048;0.056;0.035;0.028;0.015;0.009;0;0;0;0;0;0.013;0.141;0.111;0;0;0.393;0.008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.156;0.111;0.009;0;0.037;0;0.001;0;0;0;0.006;0;0;0;0.001;0.002;0.03;0.047;0.078;0.102;0.114;0.095;0.076;0.08;0.072;0.045;0.056;0.052;0.044;0.066;0.09
CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;03.08.2025;0.075;0.064;0.073;0.072;0.053;0.059;0.062;0.063;0.066;0.049;0.065;0.061;0.054;0.05;0.039;0.039;0.042;0.045;0.049;0.042;0.036;0.054;0.07;0.07;0.034;0.025;0.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028;0;0.031;0.002;0.001;0;0.008;0.023;0.047;0.059;0.085;0.076;0.074;0.052;0.061;0.066;0.051;0.05;0.048;0.071;0.091
CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;04.08.2025;0.074;0.06;0.035;0.043;0.058;0.037;0.035;0.039;0.046;0.069;0.059;0.056;0.039;0.031;0.049;0.052;0.037;0.033;0.039;0.058;0.072;0.056;0.049;0.037;0.044;0.05;0.018;0;0.015;0.009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0.685;0.156;0.001;0;0;0.002;0.013;0.014;0.042;0.067;0.048;0.051;0.074;0.092;0.075;0.064;0.059;0.038;0.043;0.049;0.043;0.035
CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;05.08.2025;0.058;0.074;0.07;0.036;0.036;0.04;0.042;0.052;0.043;0.033;0.044;0.063;0.075;0.043;0.036;0.048;0.039;0.051;0.048;0.038;0.038;0.063;0.079;0.056;0.037;0.027;0.005;0;0;0;0;0.014;0.008;0;0;0;0;0;0;0;0;0;0;0.004;0.001;0.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013;0;0;0.026;0;0.018;0.055;0.071;0.046;0.061;0.056;0.072;0.075;0.065;0.066;0.061;0.067;0.05;0.033;0.045
CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;06.08.2025;0.039;0.042;0.065;0.066;0.055;0.047;0.047;0.051;0.037;0.035;0.041;0.039;0.077;0.069;0.052;0.036;0.039;0.058;0.038;0.035;0.046;0.039;0.071;0.068;0.053;0.029;0.028;0.029;0;0;0;0.184;0;0;0;0;0;0.001;0.01;0;0;0.031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.018;0.045;0.061;0.061;0.068;0.043;0.041;0.055;0.045;0.089;0.089;0.093;0.1;0.083
CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;07.08.2025;0.072;0.062;0.066;0.073;0.052;0.045;0.041;0.059;0.079;0.06;0.045;0.038;0.041;0.054;0.041;0.038;0.038;0.046;0.077;0.064;0.058;0.038;0.038;0.053;0.049;0.028;0.037;0.011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0.004;0.027;0.077;0.063;0.058;0.067;0.073;0.036;0.036;0.044;0.052;0.055;0.057;0.067;0.078
CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;08.08.2025;0.091;0.044;0.037;0.047;0.056;0.034;0.036;0.046;0.078;0.063;0.05;0.044;0.039;0.05;0.045;0.035;0.034;0.055;0.073;0.056;0.052;0.049;0.049;0.038;0.044;0.032;0.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0.007;0.033;0.054;0.039;0.065;0.068;0.064;0.069;0.058;0.037;0.051;0.068;0.073;0.071;0.053
CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;09.08.2025;0.073;0.076;0.067;0.058;0.048;0.045;0.058;0.05;0.036;0.045;0.078;0.073;0.062;0.044;0.036;0.044;0.055;0.039;0.036;0.038;0.072;0.07;0.059;0.042;0.038;0.038;0.007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002;0.069;0.1;0.106;0.033;0.029;0.053;0;0;0;0;0.085;0;0;0;0;0.002;0.02;0.034;0.1;0.123;0.08;0.069;0.097;0.081;0.083;0.074;0.067;0.08;0.081;0.066;0.066;0.062
CH1035501234500000000000000000859;1-1:1.29.0*255;KWH;10.08.2025;0.085;0.053;0.038;0.04;0.045;0.06;0.033;0.059;0.063;0.076;0.069;0.056;0.037;0.055;0.048;0.041;0.041;0.044;0.081;0.061;0.06;0.051;0.046;0.046;0.04;0.033;0.004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004;0;0.007;0;0;0;0.001;0;0.063;0.22;0.065;0.018;0.035;0.056;0.069;0.08;0.088;0.071;0.061;0.064;0.064;0.061;0.062;0.068;0.086;0.08;0.086;0.078
